"År";"Befolkning"
"1951";13845
"1952";13792
"1953";13867
"1954";14026
"1955";14034
"1956";14100
"1957";14187
"1958";14228
"1959";14299
"1960";14305
"1961";14294
"1962";14388
"1963";14491
"1964";14343
"1965";14537
"1966";14638
"1967";14691
"1968";14809
"1969";14862
"1970";14804
"1971";14721
"1972";14744
"1973";14773
"1974";14856
"1975";14907
"1976";14988
"1977";14950
"1978";15046
"1979";15091
"1980";15159
"1981";15160
"1982";15138
"1983";15162
"1984";15184
"1985";15145
"1986";15122
"1987";15108
"1988";15155
"1989";15106
"1990";15071
"1991";15126
"1992";15000
"1993";14923
"1994";14993
"1995";14941
"1996";14893
"1997";14830
"1998";14776
"1999";14726
"2000";14770
"2001";14833
"2002";14802
"2003";14858
"2004";14792
"2005";14858
"2006";14816
"2007";14763
"2008";14732
"2009";14818
"2010";14849
"2011";14904
"2012";14901
"2013";14965
"2014";15079
"2015";15268
"2016";15345
"2017";15447
"2018";15508
"2019";15543
"2020";15740
"2021";15787
"2022";15875
"2023";16144
